ID	KBase Model	ModelSEEDpy Model	Name	Equation
rxn07431_c0	Y	Y	rxn07431_c0	R07600_c0	cpd00213_c0 + cpd14700_c0 <=> cpd00056_c0 + cpd02700_c0
rxn01466_c0	Y	Y	rxn01466_c0	Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase_c0	cpd00113_c0 + cpd00283_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00350_c0
rxn08793_c0	Y	Y	rxn08793_c0	L-Lactate dehydrogenase (menaquinone)_c0	cpd00159_c0 + cpd15500_c0 --> cpd00020_c0 + cpd15499_c0
rxn10223_c0	Y	Y	rxn10223_c0	isopentadecanoyl-phosphatidate cytidylyltransferase_c0	cpd00052_c0 + cpd15680_c0 --> cpd00012_c0 + cpd00067_c0 + cpd15686_c0
rxn03908_c0	Y	Y	rxn03908_c0	ATP:4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase_c0	cpd00002_c0 + cpd08287_c0 --> cpd00008_c0 + cpd00067_c0 + cpd08288_c0
rxn05239_c0	Y	Y	rxn05239_c0	adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase (3'-phosphoadenosine-5'-phosphosulfate -forming)_c0	cpd00044_c0 + cpd11421_c0 --> cpd00045_c0 + cpd00067_c0 + cpd00081_c0 + cpd11420_c0
rxn01961_c0	Y	Y	rxn01961_c0	Xanthosine 5'-phosphate phosphohydrolase_c0	cpd00001_c0 + cpd00497_c0 --> cpd00009_c0 + cpd01217_c0
rxn01987_c0	Y	Y	rxn01987_c0	R02750_c0	cpd00008_c0 + cpd00067_c0 + cpd00510_c0 <=> cpd00002_c0 + cpd01242_c0
rxn05465_c0	Y	Y	rxn05465_c0	Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase_c0	cpd00067_c0 + cpd00070_c0 + cpd11493_c0 <=> cpd00010_c0 + cpd11492_c0
rxn05957_c0	Y	Y	rxn05957_c0	O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0	cpd00239_c0 + cpd00822_c0 --> cpd00036_c0 + cpd00135_c0
rxn03130_c0	Y	Y	rxn03130_c0	UDP-2,3-bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine 2,3-bis[(3R)-3-hydroxymyristoyl]-beta-D-glucosaminyl 1-phosphate phosphohydrolase_c0	cpd00001_c0 + cpd02835_c0 --> 2.0 cpd00067_c0 + cpd00091_c0 + cpd02930_c0
rxn09105_c0	Y	Y	rxn09105_c0	phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:1)_c0	cpd00001_c0 + cpd15546_c0 --> cpd00009_c0 + cpd00067_c0 + cpd15539_c0
EX_cpd00092_e0	Y	Y	EX_cpd00092_e0	Exchange for Uracil_e0	cpd00092_e0 <=> 
rxn02303_c0	Y	Y	rxn02303_c0	Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)_c0	cpd00007_c0 + 2.0 cpd00067_c0 + cpd02083_c0 --> 2.0 cpd00001_c0 + 2.0 cpd00011_c0 + cpd00791_c0
rxn10231_c0	Y	Y	rxn10231_c0	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0	cpd00054_c0 + cpd15688_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15694_c0
rxn03242_c0	Y		rxn03242_c0	(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase [c0]	cpd00003_c0 + cpd03116_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd03117_c0
rxn00711_c0	Y	Y	rxn00711_c0	UMP:diphosphate phospho-alpha-D-ribosyltransferase_c0	cpd00012_c0 + cpd00067_c0 + cpd00091_c0 <-- cpd00092_c0 + cpd00103_c0
rxn01286_c0	Y	Y	rxn01286_c0	D-Glyceraldehyde:NAD+ oxidoreductase_c0	cpd00001_c0 + cpd00003_c0 + cpd00448_c0 --> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00223_c0
rxn01281_c0	Y	Y	rxn01281_c0	(R)-Glycerate:NADP+ oxidoreductase_c0	cpd00006_c0 + cpd00223_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00843_c0
rxn03884_c0	Y	Y	rxn03884_c0	2-dehydro-3-deoxy-D-gluconate-6-phosphate D-glyceraldehyde-3-phosphate-lyase_c0	cpd02711_c0 <=> cpd00020_c0 + cpd00102_c0
rxn08062_c0	Y		rxn08062_c0	Na+/Acetate symport (periplasm) [c0]	cpd00029_e0 + cpd00971_e0 <=> cpd00029_c0 + cpd00971_c0
rxn00145_c0	Y	Y	rxn00145_c0	(S)-Lactate:ferricytochrome-c 2-oxidoreductase_c0	2.0 cpd00109_c0 + cpd00159_c0 <=> cpd00020_c0 + 2.0 cpd00067_c0 + 2.0 cpd00110_c0
rxn00493_c0	Y	Y	rxn00493_c0	L-Phenylalanine:2-oxoglutarate aminotransferase_c0	cpd00024_c0 + cpd00066_c0 <=> cpd00023_c0 + cpd00143_c0
rxn16609_c0	Y	Y	rxn16609_c0	ATP:(KDO)-lipid IVA 3-deoxy-alpha-D-manno-oct-2-ulopyranose 4-phosphotransferase_c0	cpd00002_c0 + cpd03585_c0 --> cpd00008_c0 + cpd00067_c0 + cpd21117_c0
rxn00175_c0	Y	Y	rxn00175_c0	Acetate:CoA ligase (AMP-forming)_c0	cpd00002_c0 + cpd00010_c0 + cpd00029_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00022_c0 + cpd00067_c0
rxn16776_c0	Y	Y	rxn16776_c0	uracil,FMNH2:oxygen oxidoreductase (uracil hydroxylating, ring-opening)_c0	cpd00007_c0 + cpd00092_c0 + cpd01270_c0 --> cpd00050_c0 + cpd21464_c0
rxn08893_c0	Y	Y	rxn08893_c0	murein D,D-carboxypeptidase (murein5p4p) (periplasm)_c0	cpd00001_c0 + cpd15510_c0 <=> cpd00117_c0 + cpd15505_c0
rxn14040_c0	Y		rxn14040_c0	ditrans,tetracis-heptaprenyl-diphosphate:isopentenyl-diphosphate heptaprenylcistransferase [c0]	cpd00113_c0 + cpd17566_c0 --> cpd00012_c0 + cpd00067_c0 + cpd17567_c0
rxn23336_c0	Y	Y	rxn23336_c0	octanoyl:GcvH transferase_c0	cpd11470_c0 + cpd27144_c0 <=> cpd00067_c0 + cpd11493_c0 + cpd27713_c0
rxn09201_c0	Y	Y	rxn09201_c0	Phosphatidylserine decarboxylase (n-C16:1)_c0	2.0 cpd00067_c0 + cpd15556_c0 --> cpd00011_c0 + cpd15532_c0
rxn05347_c0	Y	Y	rxn05347_c0	Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	cpd11492_c0 + cpd11494_c0 --> cpd00011_c0 + cpd11488_c0 + cpd11493_c0
rxn08311_c0	Y	Y	rxn08311_c0	CDP-diacylglycerol synthetase (n-C18:0)_c0	cpd00052_c0 + cpd15526_c0 --> cpd00012_c0 + cpd00067_c0 + cpd15421_c0
rxn00827_c0	Y	Y	rxn00827_c0	CTP:N-acetylneuraminate cytidylyltransferase_c0	cpd00052_c0 + cpd00232_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00112_c0
rxn12642_c0	Y	Y	rxn12642_c0	RXN0-6978.c_c0	cpd00001_c0 + cpd11584_c0 <=> cpd00035_c0 + cpd00119_c0
rxn00713_c0	Y	Y	rxn00713_c0	GTP:uridine 5'-phosphotransferase_c0	cpd00038_c0 + cpd00249_c0 --> cpd00031_c0 + cpd00067_c0 + cpd00091_c0
rxn02989_c0	Y	Y	rxn02989_c0	R04293_c0	cpd00001_c0 + cpd02333_c0 <-- cpd02692_c0
rxn00623_c0	Y	Y	rxn00623_c0	hydrogen-sulfide:NADP+ oxidoreductase_c0	3.0 cpd00001_c0 + 3.0 cpd00006_c0 + cpd00239_c0 <=> 3.0 cpd00005_c0 + 3.0 cpd00067_c0 + cpd00081_c0
EX_cpd00012_e0	Y	Y	EX_cpd00012_e0	Exchange for PPi_e0	cpd00012_e0 <=> 
rxn00460_c0	Y	Y	rxn00460_c0	UTP:pyruvate 2-O-phosphotransferase_c0	cpd00020_c0 + cpd00062_c0 --> cpd00014_c0 + cpd00061_c0 + cpd00067_c0
rxn14061_c0	Y		rxn14061_c0	trans,trans,cis-geranylgeranyl-diphosphate:isopentenyl-diphosphate geranylgeranylcistransferase [c0]	cpd00113_c0 + cpd08211_c0 --> cpd00012_c0 + cpd00067_c0 + cpd17565_c0
rxn08336_c0	Y	Y	rxn08336_c0	dihydroorotic acid (menaquinone-8)_c0	cpd00282_c0 + cpd15500_c0 --> cpd00247_c0 + cpd15499_c0
rxn05330_c0	Y	Y	rxn05330_c0	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0	cpd11479_c0 <=> cpd00001_c0 + cpd11473_c0
rxn02911_c0	Y	Y	rxn02911_c0	(S)-3-Hydroxydodecanoyl-CoA hydro-lyase_c0	cpd03116_c0 <=> cpd00001_c0 + cpd02060_c0
rxn06586_c0	Y	Y	rxn06586_c0	3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase_c0	cpd00449_c0 + cpd01882_c0 <=> cpd00010_c0 + cpd14699_c0
rxn08802_c0	Y	Y	rxn08802_c0	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)_c0	cpd00001_c0 + cpd15328_c0 <=> 2.0 cpd00067_c0 + cpd00080_c0 + cpd15269_c0
rxn16829_c0	Y	Y	rxn16829_c0	R09983_c0	cpd00001_c0 + cpd00067_c0 + cpd21486_c0 --> cpd00013_c0 + cpd00191_c0
rxn04113_c0	Y	Y	rxn04113_c0	isopentenyl-diphosphate:NAD(P)+ oxidoreductase_c0	cpd00005_c0 + cpd00067_c0 + cpd08615_c0 --> cpd00001_c0 + cpd00006_c0 + cpd00113_c0
rxn01832_c0	Y	Y	rxn01832_c0	R02528_c0	cpd00005_c0 + cpd00067_c0 + cpd00428_c0 <=> cpd00006_c0 + cpd03105_c0
rxn00743_c0	Y	Y	rxn00743_c0	Glycerone phosphate phosphohydrolase_c0	cpd00001_c0 + cpd00095_c0 --> cpd00009_c0 + cpd00157_c0
rxn11944_c0	Y	Y	rxn11944_c0	Methyltransferase_c0	cpd00019_c0 + cpd00067_c0 + cpd02738_c0 <-- cpd00017_c0 + cpd02555_c0
rxn15467_c0	Y		rxn15467_c0	(R)-2,3-Dihydroxy-3-methylbutanoate hydro-lyase [c0]	cpd19030_c0 --> cpd00001_c0 + cpd00123_c0
rxn10268_c0	Y	Y	rxn10268_c0	isopentadecanoyl-Phosphatidylglycerophosphate phosphohydrolase_c0	cpd00001_c0 + cpd15719_c0 --> cpd00009_c0 + cpd00067_c0 + cpd15725_c0
rxn02314_c0	Y	Y	rxn02314_c0	ATP:D-tagatose-6-phosphate 1-phosphotransferase_c0	cpd00002_c0 + cpd00805_c0 --> cpd00008_c0 + cpd00067_c0 + cpd02371_c0
rxn01297_c0	Y	Y	rxn01297_c0	hypoxanthine:NAD+ oxidoreductase_c0	cpd00001_c0 + cpd00003_c0 + cpd00226_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00309_c0
rxn00587_c0	Y	Y	rxn00587_c0	Catechol:oxygen 2,3-oxidoreductase (decyclizing)_c0	cpd00007_c0 + cpd00077_c0 --> cpd00067_c0 + cpd00518_c0
rxn05377_c0	Y	Y	rxn05377_c0	12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase_c0	cpd11513_c0 <=> cpd00001_c0 + cpd11514_c0
rxn01513_c0	Y	Y	rxn01513_c0	ATP:dTMP phosphotransferase_c0	cpd00002_c0 + cpd00067_c0 + cpd00298_c0 <=> cpd00008_c0 + cpd00297_c0
rxn00371_c0	Y	Y	rxn00371_c0	Formate:NAD+ oxidoreductase_c0	cpd00003_c0 + cpd00047_c0 --> cpd00004_c0 + cpd00011_c0
DM_cpd11416_c0	Y		DM_cpd11416_c0	Demand for Biomass [c0]	cpd11416_c0 --> 
rxn01021_c0	Y	Y	rxn01021_c0	Methylthioadenosine methylthioribohydrolase_c0	cpd00001_c0 + cpd00147_c0 <=> cpd00128_c0 + cpd01981_c0
rxn03147_c0	Y	Y	rxn03147_c0	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)_c0	cpd00002_c0 + cpd00041_c0 + cpd02893_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd02921_c0
rxn00799_c0	Y	Y	rxn00799_c0	(S)-malate hydro-lyase (fumarate-forming)_c0	cpd00130_c0 <=> cpd00001_c0 + cpd00106_c0
SK_cpd15302_c0		Y	SK_cpd15302_c0	Sink for glycogen(n-1)_c0	cpd15302_c0 --> 
rxn02277_c0	Y	Y	rxn02277_c0	7,8-Diaminononanoate:carbon-dioxide cyclo-ligase_c0	cpd00002_c0 + cpd00011_c0 + cpd00764_c0 --> cpd00008_c0 + cpd00009_c0 + 3.0 cpd00067_c0 + cpd01311_c0
rxn08308_c0	Y	Y	rxn08308_c0	CDP-diacylglycerol synthetase (n-C14:1)_c0	cpd00052_c0 + cpd15523_c0 --> cpd00012_c0 + cpd00067_c0 + cpd15422_c0
rxn00775_c0	Y	Y	rxn00775_c0	ADP-ribose ribophosphohydrolase_c0	cpd00001_c0 + cpd00251_c0 --> cpd00018_c0 + 2.0 cpd00067_c0 + cpd00101_c0
rxn00653_c0	Y	Y	rxn00653_c0	3-aminopropanal:NAD+ oxidoreductase_c0	cpd00004_c0 + 2.0 cpd00067_c0 + cpd00085_c0 <=> cpd00001_c0 + cpd00003_c0 + cpd01504_c0
rxn10770_c0	Y	Y	rxn10770_c0	R08557_c0	cpd00003_c0 + cpd00098_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00447_c0
rxn39978_c0	Y		rxn39978_c0	phenol hydroxylase [c0]	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd01007_c0 --> cpd00001_c0 + cpd00003_c0 + cpd00127_c0
rxn05462_c0	Y	Y	rxn05462_c0	trans-Octodec-2-enoyl-ACP hydro-lyase_c0	cpd11571_c0 <=> cpd00001_c0 + cpd11572_c0
rxn09208_c0	Y	Y	rxn09208_c0	Phosphatidylserine syntase (n-C16:0)_c0	cpd00054_c0 + cpd15419_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15555_c0
rxn08848_c0	Y	Y	rxn08848_c0	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)_c0	cpd00001_c0 + cpd15346_c0 <=> cpd00067_c0 + cpd00214_c0 + cpd02090_c0
rxn00227_c0	Y	Y	rxn00227_c0	Acetyl phosphate phosphohydrolase_c0	cpd00001_c0 + cpd00196_c0 --> cpd00009_c0 + cpd00029_c0 + cpd00067_c0
rxn05129_c0	Y		rxn05129_c0	R07420 [c0]	cpd01550_c0 --> cpd00009_c0 + cpd00585_c0
rxn02312_c0	Y	Y	rxn02312_c0	S-Adenosyl-L-methionine:8-amino-7-oxononanoate aminotransferase_c0	cpd00017_c0 + cpd00800_c0 <=> cpd00764_c0 + cpd02701_c0
rxn01962_c0	Y	Y	rxn01962_c0	XTP pyrophosphohydrolase_c0	cpd00001_c0 + cpd00530_c0 --> cpd00012_c0 + 2.0 cpd00067_c0 + cpd00497_c0
rxn00874_c0	Y	Y	rxn00874_c0	butanoyl-CoA:acetyl-CoA C-butanoyltransferase_c0	cpd00022_c0 + cpd00120_c0 <=> cpd00010_c0 + cpd03123_c0
rxn00851_c0	Y	Y	rxn00851_c0	D-alanine:D-alanine ligase (ADP-forming)_c0	cpd00002_c0 + 2.0 cpd00117_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00731_c0
rxn41683_c0	Y	Y	rxn41683_c0	rxn41683_c0	cpd00067_c0 + cpd03520_c0 + cpd19503_c0 <=> cpd00001_c0 + cpd33647_c0
rxn08841_c0	Y	Y	rxn08841_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)_c0	cpd00001_c0 + cpd15339_c0 <=> cpd00067_c0 + cpd00214_c0 + cpd00908_c0
rxn00321_c0	Y	Y	rxn00321_c0	L-Lysine 2,3-aminomutase_c0	cpd00039_c0 <=> cpd00840_c0
rxn24718_c0	Y	Y	rxn24718_c0	RXN-8243.c_c0	cpd00025_c0 + cpd02074_c0 --> cpd00001_c0 + cpd00011_c0 + cpd00339_c0
rxn01445_c0	Y	Y	rxn01445_c0	2'-Deoxyguanosine 5'-monophosphate phosphohydrolase_c0	cpd00001_c0 + cpd00296_c0 --> cpd00009_c0 + cpd00277_c0
rxn07976_c0	Y	Y	rxn07976_c0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)_c0	cpd15366_c0 <=> cpd00001_c0 + cpd15569_c0
rxn00604_c0	Y	Y	rxn00604_c0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase_c0	cpd00006_c0 + cpd00079_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00911_c0
rxn08689_c0	Y		rxn08689_c0	h2s transport (periplasm) [c0]	cpd00239_c0 <=> cpd00239_e0
rxn10229_c0	Y	Y	rxn10229_c0	isopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0	cpd00054_c0 + cpd15686_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15692_c0
rxn01219_c0	Y	Y	rxn01219_c0	ATP:dCMP phosphotransferase_c0	cpd00002_c0 + cpd00067_c0 + cpd00206_c0 <=> cpd00008_c0 + cpd00533_c0
rxn03248_c0	Y	Y	rxn03248_c0	Hexanoyl-CoA:acetyl-CoA C-acyltransferase_c0	cpd00022_c0 + cpd03124_c0 <=> cpd00010_c0 + cpd03121_c0
EX_cpd00166_e0	Y	Y	EX_cpd00166_e0	Exchange for Calomide_e0	cpd00166_e0 <=> 
rxn05200_c0	Y	Y	rxn05200_c0	Transport of thymidine, extracellular_c0	cpd00067_e0 + cpd00184_e0 <=> cpd00067_c0 + cpd00184_c0
rxn01790_c0	Y	Y	rxn01790_c0	(R)-Pantoate:NADP+ 2-oxidoreductase_c0	cpd00006_c0 + cpd00408_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00712_c0
rxn21858_c0	Y	Y	rxn21858_c0	RXN-11477.c_c0	cpd22022_c0 --> cpd00001_c0 + cpd27020_c0
rxn01675_c0	Y	Y	rxn01675_c0	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0	cpd00089_c0 + cpd00357_c0 --> cpd00012_c0 + cpd00626_c0
rxn06377_c0	Y	Y	rxn06377_c0	glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating)_c0	cpd00033_c0 + cpd00067_c0 + cpd12005_c0 --> cpd00011_c0 + cpd11830_c0
rxn00064_c0	Y		rxn00064_c0	ATP aminohydrolase [c0]	cpd00001_c0 + cpd00002_c0 + cpd00067_c0 --> cpd00013_c0 + cpd00068_c0
rxn15947_c0	Y	Y	rxn15947_c0	carboxyspermidine:NADP+ oxidoreductase_c0	cpd00005_c0 + cpd00067_c0 + cpd00118_c0 + cpd00346_c0 <=> cpd00001_c0 + cpd00006_c0 + cpd19442_c0
rxn00881_c0	Y	Y	rxn00881_c0	1D-myo-Inositol 1-phosphate phosphohydrolase_c0	cpd00001_c0 + cpd00867_c0 --> cpd00009_c0 + cpd00121_c0
rxn03408_c0	Y	Y	rxn03408_c0	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0	cpd00037_c0 + cpd03494_c0 <=> cpd00014_c0 + cpd03495_c0
rxn05114_c0	Y	Y	rxn05114_c0	5-amino-1-(5-phospho-D-ribosyl)imidazole:carbon-dioxide ligase (ADP-forming)_c0	cpd00002_c0 + cpd00242_c0 + cpd02140_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11310_c0
rxn00416_c0	Y	Y	rxn00416_c0	L-aspartate:L-glutamine amido-ligase (AMP-forming)_c0	cpd00001_c0 + cpd00002_c0 + cpd00041_c0 + cpd00053_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00023_c0 + 2.0 cpd00067_c0 + cpd00132_c0
rxn00692_c0	Y	Y	rxn00692_c0	5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase_c0	cpd00001_c0 + cpd00033_c0 + cpd00125_c0 <=> cpd00054_c0 + cpd00087_c0
rxn00184_c0	Y	Y	rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)_c0	cpd00001_c0 + cpd00006_c0 + cpd00023_c0 <=> cpd00005_c0 + cpd00013_c0 + cpd00024_c0 + cpd00067_c0
EX_cpd00058_e0	Y	Y	EX_cpd00058_e0	Exchange for Cu2+_e0	cpd00058_e0 <=> 
rxn12635_c0	Y	Y	rxn12635_c0	RXN0-6974.c_c0	cpd00001_c0 + cpd11591_c0 <=> cpd00033_c0 + cpd00060_c0
rxn24134_c0	Y	Y	rxn24134_c0	RXN-6201.x_c0	cpd00067_c0 + cpd09027_c0 --> cpd00011_c0 + cpd19020_c0
rxn09110_c0	Y	Y	rxn09110_c0	Phosphatidylglycerol synthase (n-C14:1)_c0	cpd00080_c0 + cpd15422_c0 <=> cpd00046_c0 + cpd15544_c0
rxn12643_c0	Y	Y	rxn12643_c0	RXN0-6979.c_c0	cpd00001_c0 + cpd11583_c0 --> cpd00035_c0 + cpd00107_c0
rxn00337_c0	Y	Y	rxn00337_c0	ATP:L-aspartate 4-phosphotransferase_c0	cpd00002_c0 + cpd00041_c0 <=> cpd00008_c0 + cpd01977_c0
rxn12822_c0	Y	Y	rxn12822_c0	L-glutamate:ferredoxin oxidoreductase (transaminating)_c0	2.0 cpd00023_c0 + 2.0 cpd11621_c0 <=> cpd00024_c0 + cpd00053_c0 + 2.0 cpd00067_c0 + 2.0 cpd11620_c0
rxn00367_c0	Y	Y	rxn00367_c0	CTP diphosphohydrolase (diphosphate-forming)_c0	cpd00001_c0 + cpd00052_c0 --> cpd00012_c0 + cpd00046_c0 + 2.0 cpd00067_c0
rxn05145_c0	Y	Y	rxn05145_c0	phosphate-transporting ATPase_c0	cpd00001_c0 + cpd00002_c0 + cpd00009_e0 --> cpd00008_c0 + 2.0 cpd00009_c0 + cpd00067_c0
rxn10228_c0	Y	Y	rxn10228_c0	isotetradecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0	cpd00054_c0 + cpd15685_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15691_c0
rxn08812_c0	Y	Y	rxn08812_c0	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)_c0	cpd00001_c0 + cpd15320_c0 <=> cpd00067_c0 + cpd02090_c0 + cpd15298_c0
rxn03164_c0	Y	Y	rxn03164_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate:D-alanyl-D-alanine ligase(ADP-forming)_c0	cpd00002_c0 + cpd00731_c0 + cpd02964_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd02968_c0
rxn10260_c0	Y	Y	rxn10260_c0	anteisoheptadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase_c0	cpd00080_c0 + cpd15684_c0 <=> cpd00046_c0 + cpd15717_c0
rxn08797_c0	Y	Y	rxn08797_c0	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)_c0	cpd00001_c0 + cpd15331_c0 <=> cpd00067_c0 + cpd00080_c0 + cpd03847_c0
rxn00704_c0	Y	Y	rxn00704_c0	alpha-D-Glucose 1-phosphate 1,6-phosphomutase_c0	cpd00089_c0 <=> cpd00079_c0
EX_cpd00211_e0	Y	Y	EX_cpd00211_e0	Exchange for Butyrate_e0	cpd00211_e0 <=> 
rxn10266_c0	Y	Y	rxn10266_c0	anteisoheptadecanoyl-Phosphatidylglycerophosphate phosphohydrolase_c0	cpd00001_c0 + cpd15717_c0 --> cpd00009_c0 + cpd00067_c0 + cpd15723_c0
EX_cpd00363_e0	Y		EX_cpd00363_e0	Exchange for Ethanol [e0]	cpd00363_e0 <=> 
rxn03240_c0	Y	Y	rxn03240_c0	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase_c0	cpd03113_c0 <=> cpd00001_c0 + cpd03126_c0
rxn03910_c0	Y	Y	rxn03910_c0	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)_c0	cpd08288_c0 <=> cpd00046_c0 + cpd08301_c0
rxn01670_c0	Y	Y	rxn01670_c0	Nicotinamide ribonucleotide phosphohydrolase_c0	cpd00001_c0 + cpd00355_c0 --> cpd00009_c0 + cpd02016_c0
rxn00543_c0	Y	Y	rxn00543_c0	ethanol:NAD+ oxidoreductase_c0	cpd00003_c0 + cpd00363_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00071_c0
rxn00086_c0	Y	Y	rxn00086_c0	glutathione:NADP+ oxidoreductase_c0	cpd00006_c0 + 2.0 cpd00042_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00111_c0
rxn10226_c0	Y	Y	rxn10226_c0	isoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0	cpd00054_c0 + cpd15683_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15689_c0
rxn01045_c0	Y	Y	rxn01045_c0	L-Valine:NAD+ oxidoreductase(deaminating)_c0	cpd00001_c0 + cpd00003_c0 + cpd00156_c0 <=> cpd00004_c0 + cpd00013_c0 + cpd00067_c0 + cpd00123_c0
EX_cpd00029_e0	Y		EX_cpd00029_e0	Exchange for Acetate [e0]	cpd00029_e0 <=> 
rxn00640_c0	Y	Y	rxn00640_c0	GDP:D-mannose-1-phosphate guanylyltransferase_c0	cpd00031_c0 + cpd00485_c0 --> cpd00009_c0 + cpd00083_c0
rxn10267_c0	Y	Y	rxn10267_c0	isotetradecanoyl-Phosphatidylglycerophosphate phosphohydrolase_c0	cpd00001_c0 + cpd15718_c0 --> cpd00009_c0 + cpd00067_c0 + cpd15724_c0
rxn00670_c0	Y	Y	rxn00670_c0	propanoyl-CoA:phosphate propanoyltransferase_c0	cpd00009_c0 + cpd00086_c0 <=> cpd00010_c0 + cpd01844_c0
rxn00291_c0	Y	Y	rxn00291_c0	N-succinyl-L-glutamate amidohydrolase_c0	cpd00001_c0 + cpd03525_c0 <=> cpd00023_c0 + cpd00036_c0
rxn01761_c0	Y	Y	rxn01761_c0	L-Rhamnose ketol-isomerase_c0	cpd00396_c0 <=> cpd00642_c0
rxn00504_c0	Y	Y	rxn00504_c0	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase_c0	2.0 cpd00001_c0 + cpd00006_c0 + cpd02431_c0 <=> cpd00005_c0 + cpd00023_c0 + cpd00067_c0
rxn00283_c0	Y	Y	rxn00283_c0	alanine racemase_c0	cpd00035_c0 <=> cpd00117_c0
rxn01672_c0	Y	Y	rxn01672_c0	dCTP aminohydrolase_c0	cpd00001_c0 + cpd00067_c0 + cpd00356_c0 --> cpd00013_c0 + cpd00358_c0
rxn08213_c0	Y	Y	rxn08213_c0	TRANS-RXN-99.cp_c0	cpd00067_e0 + cpd00098_e0 <=> cpd00067_c0 + cpd00098_c0
rxn08298_c0	Y	Y	rxn08298_c0	diacylglycerol kinase (n-C16:1)_c0	cpd00002_c0 + cpd15310_c0 --> cpd00008_c0 + cpd15525_c0
