2.5.1.81	rxn05287	geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase	MetaCyc: PWY-7720 (ophiobolin F biosynthesis); PWY-7736 (stellatic acid biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); SESTERTERPENOID-BIOSYNTHESIS (Sesterterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)
2.7.1.178|2.7.1.45	rxn01123	ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase	"MetaCyc: CARBOXYLATES-DEG (Carboxylate Degradation); Carbohydrates-Degradation (Carbohydrate Degradation); D-Galacturonate-Degradation (D-Galacturonate Degradation); D-Glucuronate-Degradation (D-Glucuronate Degradation); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Entner-Duodoroff-Pathways (Entner-Duodoroff Pathways); GALACT-GLUCUROCAT-PWY (superpathway of hexuronide and hexuronate degradation); GALACTUROCAT-PWY (D-galacturonate degradation I); GLUCUROCAT-PWY (superpathway of &beta;-D-glucuronosides degradation); POLYSACCHARIDES-DEG (Polysaccharide Degradation); PWY-2221 (Entner-Doudoroff pathway III (semi-phosphorylative)); PWY-6507 (4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation); PWY-6516 (superpathway of microbial D-galacturonate and D-glucuronate degradation); PWY-6986 (alginate degradation); PWY-7242 (D-fructuronate degradation); PWY-7562 (3,6-anhydro-&alpha;-L-galactopyranose degradation); Polymer-Degradation (Polymeric Compound Degradation); SECONDARY-METABOLITE-DEGRADATION (Secondary Metabolite Degradation); SUGAR-ACIDS-DEG (Sugar Acid Degradation); Sugar-Derivatives (Sugar Derivative Degradation); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00030 (Pentose phosphate pathway); rn01200 (Carbon metabolism)"
2.7.1.15	rxn00772	ATP:D-ribose 5-phosphotransferase	MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); RIBOKIN-PWY (ribose phosphorylation); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00030 (Pentose phosphate pathway)
5.1.3.3	rxn01171	D-glucose 1-epimerase	MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); PWY0-1466 (trehalose degradation VI (periplasmic)); Sugars-And-Polysaccharides-Degradation (Sugar Degradation); Trehalose-Degradation (Trehalose Degradation)|KEGG: rn00010 (Glycolysis / Gluconeogenesis); rn01110 (Biosynthesis of secondary metabolites)
3.2.1.22	rxn00817	melibiose galactohydrolase	MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); PWY0-1301 (melibiose degradation); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00052 (Galactose metabolism)
3.5.1.25	rxn03504	N-acetyl-D-galactosamine 6-phosphate amidohydrolase	MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); PWY-7077 (<i>N</i>-acetyl-D-galactosamine degradation); PWY-7395 (D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00052 (Galactose metabolism)
1.1.1.125|1.1.1.127	rxn01124	2-Dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase	"MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); PWY-6507 (4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation); PWY-6516 (superpathway of microbial D-galacturonate and D-glucuronate degradation); PWY-7562 (3,6-anhydro-&alpha;-L-galactopyranose degradation); SECONDARY-METABOLITE-DEGRADATION (Secondary Metabolite Degradation); Sugar-Derivatives (Sugar Derivative Degradation); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00040 (Pentose and glucuronate interconversions)"
2.4.1.1	rxn26127	maltodextrin phosphorylase	MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); GLYCOCAT-PWY (glycogen degradation I); Glycogen-Degradation (Glycogen Degradation); POLYSACCHARIDES-DEG (Polysaccharide Degradation); Polymer-Degradation (Polymeric Compound Degradation)
5.1.3.-|5.1.3.32	rxn26307	RXN0-5306.c	MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); FUC-RHAMCAT-PWY (superpathway of fucose and rhamnose degradation); L-rhamnose-Degradation (L-rhamnose Degradation); RHAMCAT-PWY (L-rhamnose degradation I); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)
4.2.1.12	rxn01477	6-Phospho-D-gluconate hydro-lyase(2-dehydro-3-deoxy-6-phospho-D-gluconate-forming)	MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); Degradation (Degradation/Utilization/Assimilation); ENTNER-DOUDOROFF-PWY (Entner-Doudoroff shunt); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Entner-Duodoroff-Pathways (Entner-Duodoroff Pathways); GLYCOLYSIS-E-D (superpathway of glycolysis and the Entner-Doudoroff pathway); PWY-8004 (Entner-Doudoroff pathway I); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)|KEGG: rn00030 (Pentose phosphate pathway); rn01200 (Carbon metabolism)
3.1.1.30	rxn01959	"D-Arabinono-1,4-lactone lactonohydrolase"	MetaCyc: Carbohydrates-Degradation (Carbohydrate Degradation); D-Arabinose-Degradation (D-arabinose Degradation); Degradation (Degradation/Utilization/Assimilation); PWY-5257 (superpathway of pentose and pentitol degradation); PWY-5519 (D-arabinose degradation III); SECONDARY-METABOLITE-DEGRADATION (Secondary Metabolite Degradation); SUGAR-ALCOHOLS-DEG (Sugar Alcohol Degradation); Sugar-Derivatives (Sugar Derivative Degradation); Sugars-And-Polysaccharides-Degradation (Sugar Degradation)
2.7.7.27	rxn00695	ATP:alpha-D-glucose-1-phosphate adenylyltransferase	MetaCyc: Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); GLYCOGEN-BIOSYN (Glycogen and Starch Biosynthesis); GLYCOGENSYNTH-PWY (glycogen biosynthesis I (from ADP-D-Glucose)); Glycan-Biosynthesis (Glycan Biosynthesis); Glycan-Pathways (Glycan Pathways); Glycolipids-Biosynthesis (Glycolipid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-622 (starch biosynthesis); PWY-7902 (glucosylglycerol biosynthesis); Polysaccharides-Biosynthesis (Polysaccharide Biosynthesis)|KEGG: rn00500 (Starch and sucrose metabolism); rn00520 (Amino sugar and nucleotide sugar metabolism); rn01110 (Biosynthesis of secondary metabolites)
2.4.-.-	rxn08710	RXN0-5118.c	MetaCyc: Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Glycan-Biosynthesis (Glycan Biosynthesis); Glycan-Pathways (Glycan Pathways); LIPA-CORESYN-PWY (Lipid A-core biosynthesis (<i>E. coli</i> K-12)); LPSSYN-PWY (superpathway of lipopolysaccharide biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis)
2.-.-.-	rxn08711	RXN0-5061.c	MetaCyc: Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Glycan-Biosynthesis (Glycan Biosynthesis); Glycan-Pathways (Glycan Pathways); LIPA-CORESYN-PWY (Lipid A-core biosynthesis (<i>E. coli</i> K-12)); LPSSYN-PWY (superpathway of lipopolysaccharide biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis)
5.3.1.13	rxn01117	D-arabinose-5-phosphate aldose-ketose-isomerase	"MetaCyc: CARBO-BIOSYNTHESIS (Sugar Biosynthesis); CMP-KDO-Biosynthesis (CMP-3-deoxy-D-<I>manno</I>-octulosonate Biosynthesis); CMP-Sugar-Biosynthesis (CMP-sugar Biosynthesis); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Cell-Structure-Biosynthesis (Cell Structure Biosynthesis); KDO-NAGLIPASYN-PWY (superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis); LPSSYN-PWY (superpathway of lipopolysaccharide biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); Lipopolysaccharide-Biosynthesis (Lipopolysaccharide Biosynthesis); PWY-1269 (CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis); PWY-7674 (CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis); SUGAR-NUCLEOTIDES (Sugar Nucleotide Biosynthesis)"
2.7.7.38	rxn02405	CTP:3-deoxy-D-manno-octulosonate cytidylyltransferase	MetaCyc: CARBO-BIOSYNTHESIS (Sugar Biosynthesis); CMP-KDO-Biosynthesis (CMP-3-deoxy-D-<I>manno</I>-octulosonate Biosynthesis); CMP-Sugar-Biosynthesis (CMP-sugar Biosynthesis); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Cell-Structure-Biosynthesis (Cell Structure Biosynthesis); KDO-NAGLIPASYN-PWY (superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis); LPSSYN-PWY (superpathway of lipopolysaccharide biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); Lipopolysaccharide-Biosynthesis (Lipopolysaccharide Biosynthesis); PWY-1269 (CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis); SUGAR-NUCLEOTIDES (Sugar Nucleotide Biosynthesis)|KEGG: rn00540 (Lipopolysaccharide biosynthesis)
4.1.1.49	rxn00247	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	"MetaCyc: CARBO-BIOSYNTHESIS (Sugar Biosynthesis); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Energy-Metabolism (Generation of Precursor Metabolite and Energy); GLUCONEO-PWY (gluconeogenesis I); Gluconeogenesis (Gluconeogenesis); PWY-561 (superpathway of glyoxylate cycle and fatty acid degradation); PWY-7117 (C4 photosynthetic carbon assimilation cycle, PEPCK type); Photosynthesis ()|KEGG: rn00010 (Glycolysis / Gluconeogenesis); rn00020 (Citrate cycle (TCA cycle)); rn00620 (Pyruvate metabolism); rn00710 (Carbon fixation in photosynthetic organisms); rn01110 (Biosynthesis of secondary metabolites); rn01200 (Carbon metabolism)"
2.7.6.1	rxn00770	ATP:D-ribose-5-phosphate diphosphotransferase	"MetaCyc: CARBO-BIOSYNTHESIS (Sugar Biosynthesis); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Cell-Structure-Biosynthesis (Cell Structure Biosynthesis); Cell-Wall-Biosynthesis (Cell Wall Biosynthesis); PRPP-PWY (superpathway of histidine, purine, and pyrimidine biosynthesis); PWY-6404 (superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis); PWY0-662 (PRPP biosynthesis); Sugar-Phosphate-Biosynthesis (Sugar Phosphate Biosynthesis)|KEGG: rn00030 (Pentose phosphate pathway); rn00230 (Purine metabolism); rn01110 (Biosynthesis of secondary metabolites); rn01200 (Carbon metabolism); rn01230 (Biosynthesis of amino acids)"
5.4.2.3	rxn01505	"N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase"	MetaCyc: CARBO-BIOSYNTHESIS (Sugar Biosynthesis); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Carbohydrates-Degradation (Carbohydrate Degradation); Chitin-Degradation (Chitin Degradation); Degradation (Degradation/Utilization/Assimilation); Glycan-Biosynthesis (Glycan Biosynthesis); Glycan-Pathways (Glycan Pathways); POLYSACCHARIDES-DEG (Polysaccharide Degradation); PWY-5514 (UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II); PWY-6906 (chitin derivatives degradation); PWY-6981 (chitin biosynthesis); Polymer-Degradation (Polymeric Compound Degradation); Polysaccharides-Biosynthesis (Polysaccharide Biosynthesis); SUGAR-NUCLEOTIDES (Sugar Nucleotide Biosynthesis); UDP-NAc-Glucosamine-Biosynthesis (UDP-<i>N</i>-acetyl-D-glucosamine Biosynthesis); UDP-Nac-Galactosamine-Biosynthesis (UDP-<i>N</i>-acetyl-D-galactosamine Biosynthesis); UDP-Sugar-Biosynthesis (UDP-sugar Biosynthesis); UDPNACETYLGALSYN-PWY (UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II)|KEGG: rn00520 (Amino sugar and nucleotide sugar metabolism); rn01110 (Biosynthesis of secondary metabolites)
1.11.1.21|1.11.1.6	rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	MetaCyc: C1-COMPOUNDS (C1 Compound Utilization and Assimilation); DETOX1-PWY (superoxide radicals degradation); DETOX1-PWY-1 (reactive oxygen species degradation); Degradation (Degradation/Utilization/Assimilation); Detoxification (Detoxification); Methanol-Oxidation (Methanol Oxidation); PWY-5506 (methanol oxidation to formaldehyde IV); REACTIVE-OXYGEN-SPECIES-DEGRADATION (Reactive Oxygen Specie Degradation)|KEGG: rn00630 (Glyoxylate and dicarboxylate metabolism); rn01110 (Biosynthesis of secondary metabolites)
3.1.2.12	rxn00377	S-Formylglutathione hydrolase	MetaCyc: C1-COMPOUNDS (C1 Compound Utilization and Assimilation); Degradation (Degradation/Utilization/Assimilation); Formaldehyde-Oxidation (Formaldehyde Oxidation); PWY-1801 (formaldehyde oxidation II (glutathione-dependent)); PWY-1882 (superpathway of C1 compounds oxidation to CO<sub>2</sub>)|KEGG: rn00680 (Methane metabolism); rn01200 (Carbon metabolism)
4.4.1.22	rxn04791	S-(hydroxymethyl)glutathione synthase	MetaCyc: C1-COMPOUNDS (C1 Compound Utilization and Assimilation); Degradation (Degradation/Utilization/Assimilation); Formaldehyde-Oxidation (Formaldehyde Oxidation); PWY-1801 (formaldehyde oxidation II (glutathione-dependent)); PWY-1882 (superpathway of C1 compounds oxidation to CO<sub>2</sub>)|KEGG: rn00680 (Methane metabolism); rn01200 (Carbon metabolism)
1.1.1.284	rxn04938	S-(hydroxymethyl)glutathione:NADP+ oxidoreductase	MetaCyc: C1-COMPOUNDS (C1 Compound Utilization and Assimilation); Degradation (Degradation/Utilization/Assimilation); Formaldehyde-Oxidation (Formaldehyde Oxidation); PWY-1801 (formaldehyde oxidation II (glutathione-dependent)); PWY-1882 (superpathway of C1 compounds oxidation to CO<sub>2</sub>)
3.5.1.10	rxn00691	10-Formyltetrahydrofolate amidohydrolase	"MetaCyc: C1-COMPOUNDS (C1 Compound Utilization and Assimilation); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Fermentation (); Folate-Biosynthesis (Folate Biosynthesis); Folate-Transformations (Folate Transformations); Formaldehyde-Oxidation (Formaldehyde Oxidation); NUCLEO-DEG (Nucleoside and Nucleotide Degradation); P164-PWY (purine nucleobases degradation I (anaerobic)); PWY-2201 (folate transformations I); PWY-5497 (purine nucleobases degradation II (anaerobic)); PWY-7909 (formaldehyde oxidation VII (THF pathway)); Purine-Degradation (Purine Nucleotide Degradation); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00630 (Glyoxylate and dicarboxylate metabolism); rn00670 (One carbon pool by folate)"
2.6.1.105	rxn40439	L-lysine:8-amino-7-oxononanoate aminotransferase	"MetaCyc: BIOTIN-SYN (Biotin Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-5005 (biotin biosynthesis II); PWY-7380 (biotin biosynthesis from 8-amino-7-oxononanoate II); Vitamin-Biosynthesis (Vitamin Biosynthesis)"
2.6.1.62	rxn02312	S-Adenosyl-L-methionine:8-amino-7-oxononanoate aminotransferase	"MetaCyc: BIOTIN-BIOSYNTHESIS-PWY (biotin biosynthesis I); BIOTIN-SYN (Biotin Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY0-1507 (biotin biosynthesis from 8-amino-7-oxononanoate I); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00780 (Biotin metabolism)"
6.3.3.3	rxn02277	"7,8-Diaminononanoate:carbon-dioxide cyclo-ligase"	"MetaCyc: BIOTIN-BIOSYNTHESIS-PWY (biotin biosynthesis I); BIOTIN-SYN (Biotin Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-5005 (biotin biosynthesis II); PWY-7380 (biotin biosynthesis from 8-amino-7-oxononanoate II); PWY0-1507 (biotin biosynthesis from 8-amino-7-oxononanoate I); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00780 (Biotin metabolism)"
2.8.1.6	rxn17731	biotin synthase	"MetaCyc: BIOTIN-BIOSYNTHESIS-PWY (biotin biosynthesis I); BIOTIN-SYN (Biotin Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-5005 (biotin biosynthesis II); PWY-7380 (biotin biosynthesis from 8-amino-7-oxononanoate II); PWY0-1507 (biotin biosynthesis from 8-amino-7-oxononanoate I); Vitamin-Biosynthesis (Vitamin Biosynthesis)"
1.1.1.1	rxn10770	R08557	"MetaCyc: Betaine-Biosynthesis (Betaine Biosynthesis); PWY-3722 (glycine betaine biosynthesis II (Gram-positive bacteria)); Polyamine-Biosynthesis (Amine and Polyamine Biosynthesis)|KEGG: rn00260 (Glycine, serine and threonine metabolism)"
2.1.1.156|2.1.1.162|2.1.1.20	rxn00270	S-Adenosyl-L-methionine:glycine N-methyltransferase	"MetaCyc: Betaine-Biosynthesis (Betaine Biosynthesis); P541-PWY (glycine betaine biosynthesis IV (from glycine)); PWY-6004 (glycine betaine biosynthesis V (from glycine)); Polyamine-Biosynthesis (Amine and Polyamine Biosynthesis)|KEGG: rn00260 (Glycine, serine and threonine metabolism)"
2.7.1.156	rxn03536	R05221	"MetaCyc: B12-Salvage-From-Cobinamide (Adenosylcobalamin Salvage from Cobinamide); COBALSYN-PWY (superpathway of adenosylcobalamin salvage from cobinamide I); Cobalamin-Biosynthesis (Cobamide Biosynthesis); Cobamide-Salvage (Cobinamide Salvage); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-7971 (adenosylcobinamide-GDP salvage from cobinamide I); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00860 (Porphyrin and chlorophyll metabolism)"
3.5.1.4	rxn02222	Indole-3-acetamide amidohydrolase	MetaCyc: Auxin-Biosynthesis (Auxin Biosynthesis); HORMONE-SYN (Hormone Biosynthesis); PWY-3161 (indole-3-acetate biosynthesis III (bacteria)); PWY-5025 (indole-3-acetate biosynthesis IV (bacteria)); PWY-581 (indole-3-acetate biosynthesis II); Plant-Hormone-Biosynthesis (Plant Hormone Biosynthesis)|KEGG: rn00380 (Tryptophan metabolism)
6.3.4.3	rxn00690	Formate:tetrahydrofolate ligase (ADP-forming)	"MetaCyc: Autotrophic-CO2-Fixation (Autotrophic CO<sub>2</sub> Fixation); C1-COMPOUNDS (C1 Compound Utilization and Assimilation); CO2-Fixation (CO<sub>2</sub> Fixation); CODH-PWY (reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); Degradation (Degradation/Utilization/Assimilation); Folate-Biosynthesis (Folate Biosynthesis); Folate-Transformations (Folate Transformations); PWY-1722 (formate assimilation into 5,10-methylenetetrahydrofolate); PWY-2161 (folate polyglutamylation); PWY-2201 (folate transformations I); PWY-3841 (folate transformations II); PWY-6146 (<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00670 (One carbon pool by folate); rn00720 (Carbon fixation pathways in prokaryotes); rn01200 (Carbon metabolism)"
4.2.1.1	rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	"MetaCyc: Autotrophic-CO2-Fixation (Autotrophic CO<sub>2</sub> Fixation); C1-COMPOUNDS (C1 Compound Utilization and Assimilation); CARBO-BIOSYNTHESIS (Sugar Biosynthesis); CO2-Fixation (CO<sub>2</sub> Fixation); CYANCAT-PWY (cyanate degradation); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Degradation (Degradation/Utilization/Assimilation); Detoxification (Detoxification); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Gluconeogenesis (Gluconeogenesis); NITROGEN-DEG (Nitrogen Compound Metabolism); Noncarbon-Nutrients (Inorganic Nutrient Metabolism); Other-Degradation (Degradation/Utilization/Assimilation-Other); PWY-241 (C4 photosynthetic carbon assimilation cycle, NADP-ME type); PWY-5743 (3-hydroxypropanoate cycle); PWY-5744 (glyoxylate assimilation); PWY-5789 (3-hydroxypropanoate/4-hydroxybutanate cycle); PWY-6142 (gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)); PWY-6146 (<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism); PWY-7024 (superpathway of the 3-hydroxypropanoate cycle); PWY-7115 (C4 photosynthetic carbon assimilation cycle, NAD-ME type); PWY-7117 (C4 photosynthetic carbon assimilation cycle, PEPCK type); PWYQT-4429 (CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)); Photosynthesis ()|KEGG: rn00910 (Nitrogen metabolism)"
1.1.1.299|1.1.1.37	rxn00248	(S)-malate:NAD+ oxidoreductase	"MetaCyc: ASPARTATE-DEG (L-aspartate Degradation); Alcohol-Biosynthesis (Fermentation to Alcohols); Amino-Acid-Degradation (Amino Acid Degradation); Autotrophic-CO2-Fixation (Autotrophic CO<sub>2</sub> Fixation); C1-COMPOUNDS (C1 Compound Utilization and Assimilation); CARBO-BIOSYNTHESIS (Sugar Biosynthesis); CO2-Fixation (CO<sub>2</sub> Fixation); Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis); Degradation (Degradation/Utilization/Assimilation); Energy-Metabolism (Generation of Precursor Metabolite and Energy); FERMENTATION-PWY (mixed acid fermentation); Fermentation (); Fermentation-to-Acids (Fermentation to Short-Chain Fatty Acids); Fermentation-to-propanoate (Fermentation to Propanoate); Formaldehyde-Assimilation (Formaldehyde Assimilation); GLUCONEO-PWY (gluconeogenesis I); GLUTAMATE-DEG (L-glutamate Degradation); GLYCOLYSIS-TCA-GLYOX-BYPASS (superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass); GLYOXYLATE-BYPASS (glyoxylate cycle); Gluconeogenesis (Gluconeogenesis); MALATE-ASPARTATE-SHUTTLE-PWY (L-aspartate degradation II); P105-PWY (TCA cycle IV (2-oxoglutarate decarboxylase)); P108-PWY (pyruvate fermentation to propanoate I); P23-PWY (reductive TCA cycle I); P42-PWY (incomplete reductive TCA cycle); PWY-1622 (formaldehyde assimilation I (serine pathway)); PWY-5088 (L-glutamate degradation VIII (to propanoate)); PWY-5392 (reductive TCA cycle II); PWY-5464 (superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle); PWY-561 (superpathway of glyoxylate cycle and fatty acid degradation); PWY-5690 (TCA cycle II (plants and fungi)); PWY-5913 (partial TCA cycle (obligate autotrophs)); PWY-6146 (<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism); PWY-6728 (methylaspartate cycle); PWY-6969 (TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)); PWY-7115 (C4 photosynthetic carbon assimilation cycle, NAD-ME type); PWY-7383 (anaerobic energy metabolism (invertebrates, cytosol)); PWY-7389 (superpathway of anaerobic energy metabolism (invertebrates)); PWY66-398 (TCA cycle III (animals)); PWY66-399 (gluconeogenesis III); Photosynthesis (); Proteinogenic-Amino-Acids-Degradation (Proteinogenic Amino Acid Degradation); Pyruvate-Degradation (Fermentation of Pyruvate); Pyruvate-Ethanol-Fermentation (Pyruvate Fermentation to Ehanol); Pyruvate-Propanoate-Fermentation (Pyruvate Fermentation to Propanoate); Reductive-TCA-Cycles (Reductive TCA Cycles); TCA (TCA cycle I (prokaryotic)); TCA-GLYOX-BYPASS (superpathway of glyoxylate bypass and TCA); TCA-VARIANTS (TCA cycle)|KEGG: rn00020 (Citrate cycle (TCA cycle)); rn00620 (Pyruvate metabolism); rn00630 (Glyoxylate and dicarboxylate metabolism); rn00680 (Methane metabolism); rn00710 (Carbon fixation in photosynthetic organisms); rn00720 (Carbon fixation pathways in prokaryotes); rn01110 (Biosynthesis of secondary metabolites); rn01200 (Carbon metabolism)"
6.3.1.1|6.3.5.4	rxn00340	L-aspartate:ammonia ligase (AMP-forming)	"MetaCyc: ASPARAGINE-SYN (L-asparagine Biosynthesis); ASPARAGINESYN-PWY (L-asparagine biosynthesis II); ASPASN-PWY (superpathway of L-aspartate and L-asparagine biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); Metabolic-Clusters (Metabolic Clusters); PWY0-1325 (superpathway of L-asparagine biosynthesis)|KEGG: rn00250 (Alanine, aspartate and glutamate metabolism); rn00460 (Cyanoamino acid metabolism); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
