locus_tag_from_mut_lib,protein_accession,locus_tag_from_model
MIT1002_00552,WP_014975548.1,TK37_RS14570
MIT1002_00553,WP_049588376.1,TK37_RS14575
MIT1002_00554,WP_014975550.1,TK37_RS14580
MIT1002_00555,WP_014948132.1,TK37_RS14585
MIT1002_00556,WP_049588377.1,TK37_RS14590
MIT1002_00557,WP_049588392.1,
MIT1002_00558,WP_049588378.1,TK37_RS14600
MIT1002_00559,WP_049588380.1,TK37_RS14605
MIT1002_00560,WP_049588382.1,TK37_RS14610
MIT1002_00561,WP_049588383.1,TK37_RS14615
MIT1002_00562,WP_049588385.1,TK37_RS14620
MIT1002_00563,WP_049588387.1,TK37_RS14625
MIT1002_00564,WP_049589210.1,TK37_RS20400
MIT1002_01045,WP_049589210.1,TK37_RS20400
MIT1002_01609,WP_049589210.1,TK37_RS20400
MIT1002_02850,WP_049589210.1,TK37_RS20400
MIT1002_04193,WP_049589210.1,TK37_RS20400
MIT1002_00565,WP_156080635.1,
MIT1002_00568,WP_156080636.1,
MIT1002_00569,WP_049589235.1,TK37_RS20585
MIT1002_00571,WP_156080637.1,
MIT1002_00573,WP_049588518.1,TK37_RS15250
MIT1002_00574,WP_024015658.1,TK37_RS15255
MIT1002_00575,WP_049588521.1,TK37_RS15260
MIT1002_00576,WP_049588522.1,TK37_RS15265
MIT1002_00577,WP_049588523.1,TK37_RS15270
MIT1002_00578,WP_049588525.1,TK37_RS15275
MIT1002_00579,WP_014948150.1,TK37_RS15280
MIT1002_00580,WP_012517169.1,TK37_RS15285
MIT1002_00581,WP_012517170.1,TK37_RS15290
MIT1002_00582,WP_014975563.1,TK37_RS15295
MIT1002_00583,WP_049588527.1,TK37_RS15300
MIT1002_00584,WP_231514243.1,
MIT1002_00585,WP_049588530.1,TK37_RS15315
MIT1002_00586,WP_049588532.1,TK37_RS15320
MIT1002_00587,WP_049588534.1,TK37_RS15325
MIT1002_00588,WP_049588536.1,TK37_RS15330
MIT1002_00589,WP_049588537.1,TK37_RS15335
MIT1002_00590,WP_049588538.1,TK37_RS15340
MIT1002_00591,WP_049588539.1,TK37_RS15345
MIT1002_00592,WP_049588540.1,TK37_RS15350
MIT1002_00593,WP_049588541.1,TK37_RS15355
MIT1002_00594,WP_152910894.1,TK37_RS15360
MIT1002_00595,WP_152910895.1,TK37_RS15370
MIT1002_00596,WP_049588545.1,TK37_RS15375
MIT1002_00597,WP_049588546.1,TK37_RS15380
MIT1002_00598,WP_049588547.1,TK37_RS15385
MIT1002_00599,WP_049588548.1,TK37_RS15390
MIT1002_00600,WP_049588549.1,TK37_RS15395
MIT1002_00601,WP_049588550.1,TK37_RS15400
MIT1002_00602,WP_014975585.1,TK37_RS15405
MIT1002_00603,WP_014975584.1,TK37_RS15410
MIT1002_00604,WP_014975583.1,TK37_RS15415
MIT1002_00605,WP_014975582.1,TK37_RS15420
MIT1002_00606,WP_014975581.1,TK37_RS15425
MIT1002_00607,WP_049588551.1,TK37_RS15430
MIT1002_00608,WP_014975579.1,TK37_RS15435
MIT1002_00609,WP_014975578.1,TK37_RS15440
MIT1002_00610,WP_014975577.1,TK37_RS15445
MIT1002_00611,WP_020745882.1,TK37_RS20420
MIT1002_02619,WP_020745882.1,TK37_RS20420
MIT1002_00612,WP_404978257.1,
MIT1002_02618,WP_404978257.1,
MIT1002_00615,WP_049589234.1,TK37_RS20580
MIT1002_02602,WP_049589234.1,TK37_RS20580
MIT1002_00616,WP_049587353.1,TK37_RS09880
MIT1002_00617,WP_049587352.1,TK37_RS09875
MIT1002_00618,WP_049587351.1,TK37_RS09870
MIT1002_00619,WP_049587350.1,TK37_RS09865
MIT1002_00620,WP_231506398.1,
MIT1002_00621,WP_014948153.1,TK37_RS09855
MIT1002_00622,WP_014978232.1,TK37_RS09850
MIT1002_00623,WP_039224426.1,TK37_RS09845
MIT1002_00624,WP_039231980.1,TK37_RS09840
MIT1002_00625,WP_014948157.1,TK37_RS09835
MIT1002_00626,WP_014975595.1,TK37_RS09830
MIT1002_00627,WP_014948159.1,TK37_RS09825
MIT1002_00628,WP_014948160.1,TK37_RS09820
MIT1002_00629,WP_014975597.1,TK37_RS09815
MIT1002_00630,WP_049587347.1,TK37_RS09810
MIT1002_00631,WP_049587346.1,TK37_RS09805
MIT1002_00632,WP_014948164.1,TK37_RS09800
MIT1002_00633,WP_039224435.1,TK37_RS09795
MIT1002_00634,WP_014948166.1,TK37_RS09790
MIT1002_00635,WP_049587344.1,TK37_RS09785
MIT1002_00636,WP_049587342.1,TK37_RS09780
MIT1002_00637,WP_049587341.1,TK37_RS09770
MIT1002_00638,WP_049587340.1,TK37_RS09765
MIT1002_00639,WP_049587339.1,TK37_RS09760
MIT1002_00640,WP_049587338.1,
MIT1002_00641,WP_049587337.1,TK37_RS09750
MIT1002_00642,WP_049587336.1,TK37_RS09745
MIT1002_00643,WP_014948175.1,TK37_RS09740
MIT1002_00644,WP_049587335.1,TK37_RS09735
MIT1002_00645,WP_049587333.1,TK37_RS09730
MIT1002_00646,WP_039224444.1,TK37_RS09725
MIT1002_00647,WP_049587332.1,TK37_RS09720
MIT1002_00648,WP_039224899.1,TK37_RS09715
MIT1002_00649,WP_014948181.1,TK37_RS09710
MIT1002_00650,WP_049587330.1,TK37_RS09705
MIT1002_00651,WP_014948183.1,TK37_RS09700
MIT1002_00652,WP_039224447.1,TK37_RS09695
MIT1002_00653,WP_080986413.1,TK37_RS09690
MIT1002_00654,WP_049587362.1,TK37_RS09685
MIT1002_00655,WP_039224449.1,TK37_RS09680
MIT1002_00656,WP_014948188.1,TK37_RS09675
MIT1002_00657,WP_039224451.1,TK37_RS09670
MIT1002_00658,WP_049587328.1,TK37_RS09665
MIT1002_00659,WP_049587326.1,TK37_RS09660
MIT1002_00660,WP_049587324.1,TK37_RS09655
MIT1002_00661,WP_014978266.1,TK37_RS09650
MIT1002_00662,WP_049587322.1,TK37_RS09645
MIT1002_00663,WP_049587321.1,TK37_RS09640
MIT1002_00664,WP_231514244.1,
MIT1002_00665,WP_049587320.1,TK37_RS09630
MIT1002_00666,WP_049587319.1,TK37_RS09625
MIT1002_00667,WP_049587317.1,TK37_RS09620
MIT1002_00668,WP_049587316.1,TK37_RS09615
MIT1002_00669,WP_014997260.1,
MIT1002_00670,WP_049587315.1,TK37_RS09610
MIT1002_00671,WP_049587314.1,TK37_RS09605
MIT1002_00672,WP_197047988.1,
MIT1002_00673,WP_049587312.1,TK37_RS09595
MIT1002_00674,WP_049587311.1,TK37_RS09590
MIT1002_00675,WP_014975634.1,TK37_RS09585
MIT1002_00676,WP_049587357.1,TK37_RS09580
MIT1002_00677,WP_049587310.1,TK37_RS09575
MIT1002_00678,WP_049587307.1,TK37_RS09570
MIT1002_00679,WP_014975645.1,TK37_RS09565
MIT1002_00680,WP_014978283.1,TK37_RS09560
MIT1002_00681,WP_049587305.1,TK37_RS09555
MIT1002_00682,WP_014975647.1,TK37_RS09550
MIT1002_00683,WP_049587356.1,TK37_RS09545
MIT1002_00685,WP_049589110.1,TK37_RS19895
MIT1002_00686,WP_049589109.1,TK37_RS19890
MIT1002_00687,WP_049589108.1,TK37_RS19885
MIT1002_00688,WP_080986480.1,TK37_RS19880
MIT1002_00689,WP_049589107.1,TK37_RS19875
MIT1002_00690,WP_049589105.1,TK37_RS19870
MIT1002_00691,WP_014948226.1,TK37_RS19865
MIT1002_00692,WP_014948227.1,TK37_RS19860
MIT1002_00693,WP_049589104.1,TK37_RS19855
MIT1002_00694,WP_049589111.1,TK37_RS19850
MIT1002_00695,WP_014948232.1,TK37_RS19845
MIT1002_00696,WP_049589221.1,TK37_RS20495
MIT1002_00892,WP_049589221.1,TK37_RS20495
MIT1002_01117,WP_049589221.1,TK37_RS20495
MIT1002_01581,WP_049589221.1,TK37_RS20495
MIT1002_01721,WP_049589221.1,TK37_RS20495
MIT1002_01941,WP_049589221.1,TK37_RS20495
MIT1002_02353,WP_049589221.1,TK37_RS20495
MIT1002_02758,WP_049589221.1,TK37_RS20495
MIT1002_03107,WP_049589221.1,TK37_RS20495
MIT1002_00697,WP_014978293.1,TK37_RS08125
MIT1002_00698,WP_049586997.1,TK37_RS08135
MIT1002_00699,WP_014975661.1,TK37_RS08140
MIT1002_00700,WP_049586998.1,TK37_RS08145
MIT1002_00701,WP_049586999.1,TK37_RS08150
MIT1002_00702,WP_049587001.1,TK37_RS08155
MIT1002_00703,WP_231514245.1,
MIT1002_00705,WP_231514247.1,
MIT1002_00706,WP_049587002.1,TK37_RS08165
MIT1002_00707,WP_049587003.1,TK37_RS08170
MIT1002_00709,WP_049587005.1,TK37_RS08175
MIT1002_00710,WP_049587006.1,
MIT1002_00711,WP_049587007.1,TK37_RS08185
MIT1002_00712,WP_049587009.1,TK37_RS08190
MIT1002_00713,WP_049587011.1,TK37_RS08195
MIT1002_00714,WP_049587012.1,TK37_RS08200
MIT1002_00716,WP_231514248.1,
MIT1002_00718,WP_049587016.1,TK37_RS08210
MIT1002_00719,WP_049587017.1,TK37_RS08215
MIT1002_00720,WP_049587018.1,TK37_RS08220
MIT1002_00721,WP_014997299.1,TK37_RS08225
MIT1002_00722,WP_049587019.1,TK37_RS08230
MIT1002_00723,WP_049587021.1,TK37_RS08235
MIT1002_00724,WP_049587022.1,TK37_RS08240
MIT1002_00725,WP_014975676.1,TK37_RS08245
MIT1002_00726,WP_049587025.1,TK37_RS08250
MIT1002_00727,WP_049587026.1,TK37_RS08255
MIT1002_00728,WP_049587027.1,TK37_RS08260
MIT1002_00729,WP_049587028.1,TK37_RS08265
MIT1002_00730,WP_039224509.1,TK37_RS08270
MIT1002_00731,WP_049587029.1,TK37_RS08275
MIT1002_00732,WP_049587031.1,TK37_RS08280
MIT1002_00733,WP_014948265.1,TK37_RS08285
MIT1002_00734,WP_049587032.1,TK37_RS08290
MIT1002_00735,WP_012517256.1,TK37_RS08295
MIT1002_00737,WP_012517258.1,TK37_RS08300
MIT1002_00738,WP_039224515.1,TK37_RS08305
MIT1002_00739,WP_049587035.1,TK37_RS08310
MIT1002_00740,WP_014948270.1,TK37_RS08315
MIT1002_00741,WP_049587066.1,TK37_RS08320
MIT1002_00742,WP_049587047.1,TK37_RS08325
MIT1002_00743,WP_049587049.1,TK37_RS08330
MIT1002_00744,WP_014948274.1,TK37_RS08335
MIT1002_00745,WP_049587050.1,TK37_RS08340
MIT1002_00746,WP_049587051.1,TK37_RS08345
MIT1002_00747,WP_049587052.1,TK37_RS08350
MIT1002_00748,WP_049587056.1,TK37_RS08355
MIT1002_00749,WP_014948279.1,TK37_RS08360
MIT1002_00750,WP_049587059.1,TK37_RS08365
MIT1002_00751,WP_014948281.1,TK37_RS08370
MIT1002_00752,WP_014948282.1,TK37_RS08375
MIT1002_00753,WP_080986402.1,TK37_RS08380
MIT1002_00755,WP_049587060.1,TK37_RS08385
MIT1002_00756,WP_012517276.1,TK37_RS08390
MIT1002_00757,WP_014948287.1,TK37_RS08395
MIT1002_00758,WP_014948288.1,TK37_RS08400
MIT1002_00759,WP_012517279.1,TK37_RS08405
MIT1002_00760,WP_014948289.1,TK37_RS08410
MIT1002_00761,WP_014948290.1,TK37_RS08415
MIT1002_00762,WP_049587061.1,TK37_RS08420
MIT1002_00763,WP_039224527.1,TK37_RS08425
MIT1002_00764,WP_231514249.1,
MIT1002_00765,WP_049587062.1,TK37_RS08435
MIT1002_00766,WP_231514250.1,
MIT1002_00767,WP_049587063.1,TK37_RS08445
MIT1002_00768,WP_049587064.1,TK37_RS08450
MIT1002_00770,WP_049586119.1,TK37_RS03595
MIT1002_00771,WP_049586120.1,TK37_RS03600
MIT1002_00772,WP_049586121.1,TK37_RS03605
MIT1002_00773,WP_049586122.1,TK37_RS03610
MIT1002_00774,WP_049586123.1,TK37_RS03615
MIT1002_00775,WP_014948302.1,TK37_RS03620
MIT1002_00776,WP_049586124.1,TK37_RS03625
MIT1002_00777,WP_049586126.1,TK37_RS03630
MIT1002_00778,WP_014948305.1,TK37_RS03635
MIT1002_00779,WP_049586127.1,TK37_RS03640
MIT1002_00780,WP_014948307.1,TK37_RS03645
MIT1002_00781,WP_014948308.1,TK37_RS03650
MIT1002_00782,WP_049586129.1,TK37_RS03655
MIT1002_00783,WP_014948310.1,TK37_RS03660
MIT1002_00784,WP_014975696.1,TK37_RS03665
MIT1002_00785,WP_014948312.1,TK37_RS03670
MIT1002_00786,WP_014975697.1,TK37_RS03675
MIT1002_00787,WP_014948313.1,
MIT1002_00788,WP_080986380.1,TK37_RS03685
MIT1002_00789,WP_049586131.1,TK37_RS03690
MIT1002_00790,WP_049586132.1,TK37_RS03695
MIT1002_00791,WP_049586133.1,TK37_RS03700
MIT1002_00792,WP_049586135.1,TK37_RS03705
MIT1002_00793,WP_049586137.1,TK37_RS03710
MIT1002_00794,WP_049586138.1,TK37_RS03715
MIT1002_00795,WP_049586139.1,TK37_RS03720
MIT1002_00796,WP_080986381.1,TK37_RS03730
MIT1002_00797,WP_014975709.1,TK37_RS03735
MIT1002_00798,WP_014975710.1,TK37_RS03740
MIT1002_00799,WP_049586143.1,TK37_RS03745
MIT1002_00800,WP_014975712.1,TK37_RS03750
MIT1002_00801,WP_049586144.1,TK37_RS03755
MIT1002_00802,WP_049586221.1,TK37_RS03760
MIT1002_00803,WP_049586222.1,
MIT1002_00804,WP_049586145.1,TK37_RS03770
MIT1002_00805,WP_049586146.1,TK37_RS03775
MIT1002_00806,WP_039235893.1,TK37_RS03780
MIT1002_00807,WP_049586151.1,TK37_RS03785
MIT1002_00808,WP_015066270.1,TK37_RS03790
MIT1002_00809,WP_049586153.1,TK37_RS03795
MIT1002_00810,WP_049586154.1,TK37_RS03800
MIT1002_00811,WP_049586155.1,TK37_RS03805
MIT1002_00812,WP_014948329.1,TK37_RS03810
MIT1002_00813,WP_014948330.1,TK37_RS03815
MIT1002_00814,WP_049586157.1,TK37_RS03820
MIT1002_00815,WP_049586160.1,TK37_RS03825
MIT1002_00816,WP_015066276.1,TK37_RS03830
MIT1002_00817,WP_012517332.1,TK37_RS03835
MIT1002_00818,WP_014948334.1,TK37_RS03840
MIT1002_00819,WP_049586162.1,TK37_RS03845
MIT1002_00820,WP_039224560.1,TK37_RS03850
MIT1002_00821,WP_049586163.1,TK37_RS03855
MIT1002_00822,WP_014948338.1,TK37_RS03860
MIT1002_00823,WP_014948339.1,TK37_RS03865
MIT1002_00824,WP_014948340.1,TK37_RS03870
MIT1002_00825,WP_014975727.1,TK37_RS03875
MIT1002_00826,WP_012517338.1,TK37_RS03880
MIT1002_00827,WP_049586165.1,TK37_RS03885
MIT1002_00828,WP_014948343.1,TK37_RS03890
MIT1002_00829,WP_049586166.1,TK37_RS03895
MIT1002_00830,WP_014948345.1,TK37_RS03900
MIT1002_00831,WP_049586167.1,TK37_RS03905
MIT1002_00832,WP_049586168.1,TK37_RS03910
MIT1002_00833,WP_014948348.1,TK37_RS03915
MIT1002_00834,WP_049586169.1,TK37_RS03920
MIT1002_00835,WP_014948350.1,TK37_RS03925
MIT1002_00836,WP_014948351.1,TK37_RS03930
MIT1002_00837,WP_049586171.1,TK37_RS03935
MIT1002_00838,WP_049586172.1,TK37_RS03940
MIT1002_00839,WP_012517351.1,TK37_RS03945
MIT1002_00840,WP_014948355.1,TK37_RS03950
MIT1002_00841,WP_014948356.1,TK37_RS03955
MIT1002_00842,WP_014948357.1,TK37_RS03960
MIT1002_00843,WP_014948358.1,TK37_RS03965
MIT1002_00844,WP_049586173.1,TK37_RS03970
MIT1002_00845,WP_014948360.1,TK37_RS03975
MIT1002_00846,WP_014975732.1,TK37_RS03980
MIT1002_00847,WP_049586174.1,
MIT1002_00848,WP_231506408.1,
MIT1002_00849,WP_049586176.1,TK37_RS03995
MIT1002_00850,WP_049586178.1,TK37_RS04000
MIT1002_00853,WP_197047966.1,
MIT1002_00854,WP_049586181.1,TK37_RS04010
MIT1002_00855,WP_049586183.1,TK37_RS04015
MIT1002_00856,WP_197047967.1,
MIT1002_00857,WP_049586185.1,TK37_RS04025
MIT1002_00858,WP_014948380.1,TK37_RS04030
MIT1002_00859,WP_014948381.1,TK37_RS04035
MIT1002_00860,WP_049586187.1,TK37_RS04040
MIT1002_00861,WP_049586189.1,TK37_RS04045
MIT1002_00862,WP_049586190.1,TK37_RS04050
MIT1002_00863,WP_049586192.1,TK37_RS04055
MIT1002_00864,WP_049586194.1,TK37_RS04060
MIT1002_00865,WP_230633693.1,
MIT1002_00866,WP_049586225.1,TK37_RS04070
MIT1002_00867,WP_049586195.1,TK37_RS04075
MIT1002_00868,WP_049586197.1,TK37_RS04080
MIT1002_00869,WP_049586200.1,TK37_RS04085
MIT1002_00870,WP_049586201.1,TK37_RS04090
MIT1002_00871,WP_049586202.1,TK37_RS04095
MIT1002_00872,WP_014948398.1,TK37_RS04100
MIT1002_00873,WP_014975755.1,TK37_RS04105
MIT1002_00874,WP_049586203.1,TK37_RS04110
MIT1002_00875,WP_049586204.1,TK37_RS04115
MIT1002_00876,WP_049586205.1,TK37_RS04120
MIT1002_00877,WP_014948403.1,TK37_RS04125
MIT1002_00878,WP_039224609.1,TK37_RS04130
MIT1002_00879,WP_014975760.1,TK37_RS04135
MIT1002_00881,WP_014948406.1,TK37_RS04140
MIT1002_00882,WP_049586206.1,TK37_RS04145
MIT1002_00883,WP_049586208.1,TK37_RS04150
MIT1002_00884,WP_014975764.1,TK37_RS04155
MIT1002_00885,WP_049586212.1,TK37_RS04160
MIT1002_00886,WP_080986383.1,TK37_RS04165
MIT1002_00888,WP_049586214.1,TK37_RS04175
MIT1002_00889,WP_049586215.1,TK37_RS04180
MIT1002_00890,WP_049586216.1,TK37_RS04185
MIT1002_00891,WP_014975770.1,TK37_RS04190
MIT1002_00893,WP_049589027.1,TK37_RS19220
MIT1002_00894,WP_049589028.1,TK37_RS19225
MIT1002_00896,WP_049589030.1,TK37_RS19235
MIT1002_00897,WP_049589039.1,TK37_RS19240
MIT1002_00898,WP_049589031.1,TK37_RS19245
MIT1002_00899,WP_049589032.1,TK37_RS19250
MIT1002_00900,WP_014948432.1,TK37_RS19255
MIT1002_00901,WP_049589033.1,TK37_RS19260
MIT1002_00902,WP_049589040.1,
MIT1002_00903,WP_049589034.1,TK37_RS19270
MIT1002_00904,WP_049589035.1,TK37_RS19275
MIT1002_00905,WP_049589036.1,TK37_RS19280
MIT1002_00906,WP_230962271.1,
MIT1002_00907,WP_049589038.1,TK37_RS19290
MIT1002_00908,WP_049589228.1,TK37_RS20535
MIT1002_00909,WP_049585926.1,TK37_RS02290
MIT1002_00910,WP_049585927.1,TK37_RS02295
MIT1002_00911,WP_049585928.1,TK37_RS02300
MIT1002_00912,WP_014951404.1,TK37_RS02305
MIT1002_00913,WP_049585929.1,TK37_RS02310
MIT1002_00914,WP_049585930.1,TK37_RS02315
MIT1002_00915,WP_049585931.1,TK37_RS02320
MIT1002_00916,WP_049585932.1,TK37_RS02325
MIT1002_00917,WP_231514351.1,
MIT1002_00918,WP_049585934.1,TK37_RS02335
MIT1002_00919,WP_053103809.1,TK37_RS02340
MIT1002_00920,WP_049585935.1,TK37_RS02345
MIT1002_00921,WP_049585936.1,TK37_RS02350
MIT1002_00923,WP_231514252.1,
MIT1002_00925,WP_049585938.1,TK37_RS02365
MIT1002_00926,WP_014975805.1,TK37_RS02370
MIT1002_00927,WP_049585939.1,TK37_RS02375
MIT1002_00928,WP_014948463.1,TK37_RS02380
MIT1002_00929,WP_014975806.1,TK37_RS02385
MIT1002_00930,WP_014948465.1,TK37_RS02390
MIT1002_00931,WP_049585940.1,TK37_RS02395
MIT1002_00932,WP_049585941.1,TK37_RS02400
MIT1002_00933,WP_049585942.1,TK37_RS02405
MIT1002_00934,WP_014975809.1,TK37_RS02410
MIT1002_00935,WP_014948470.1,TK37_RS02415
MIT1002_00936,WP_039224958.1,TK37_RS02420
MIT1002_00937,WP_080986373.1,TK37_RS02425
MIT1002_00938,WP_014978492.1,TK37_RS02430
MIT1002_00939,WP_049585943.1,TK37_RS02435
MIT1002_00940,WP_014948475.1,TK37_RS02440
MIT1002_00941,WP_014948476.1,TK37_RS02445
MIT1002_00942,WP_049585944.1,TK37_RS02450
MIT1002_00943,WP_014948480.1,TK37_RS02455
MIT1002_00944,WP_049585945.1,TK37_RS02460
MIT1002_00945,WP_049585946.1,TK37_RS02465
MIT1002_00946,WP_049585947.1,TK37_RS02470
MIT1002_00947,WP_049585948.1,TK37_RS02475
MIT1002_00948,WP_049585949.1,TK37_RS02480
MIT1002_00949,WP_049585950.1,TK37_RS02485
MIT1002_00950,WP_049585951.1,TK37_RS02490
MIT1002_00951,WP_049585952.1,TK37_RS02495
MIT1002_00952,WP_049585953.1,TK37_RS02500
MIT1002_00953,WP_049585954.1,TK37_RS02505
MIT1002_00954,WP_049585955.1,TK37_RS02510
MIT1002_00955,WP_049585956.1,TK37_RS02515
MIT1002_00956,WP_014978519.1,TK37_RS02520
MIT1002_00957,WP_049585957.1,TK37_RS02525
MIT1002_00958,WP_014948509.1,TK37_RS02530
MIT1002_00959,WP_197047968.1,
MIT1002_00960,WP_049585958.1,TK37_RS02540
MIT1002_00961,WP_049585959.1,TK37_RS02545
MIT1002_00962,WP_049585960.1,TK37_RS02550
MIT1002_00963,WP_014975830.1,TK37_RS02555
MIT1002_00964,WP_049585961.1,TK37_RS02560
MIT1002_00965,WP_049585962.1,TK37_RS02565
MIT1002_00966,WP_049585963.1,TK37_RS02570
MIT1002_00967,WP_049585964.1,TK37_RS02575
MIT1002_00968,WP_049585965.1,TK37_RS02580
MIT1002_00969,WP_049585966.1,TK37_RS02585
MIT1002_00970,WP_014978530.1,TK37_RS02590
MIT1002_00971,WP_014975838.1,TK37_RS02595
MIT1002_00972,WP_014975839.1,TK37_RS02600
MIT1002_00973,WP_049585967.1,TK37_RS02605
MIT1002_00974,WP_039230569.1,TK37_RS02610
MIT1002_00975,WP_014978534.1,TK37_RS02615
MIT1002_00976,WP_014948527.1,TK37_RS02620
MIT1002_00977,WP_014948528.1,TK37_RS02625
MIT1002_00978,WP_014948529.1,TK37_RS02630
MIT1002_00979,WP_049585968.1,TK37_RS02635
MIT1002_00980,WP_049585969.1,TK37_RS02640
MIT1002_00981,WP_014975843.1,TK37_RS02645
MIT1002_00982,WP_049585970.1,TK37_RS02650
MIT1002_00983,WP_014948534.1,TK37_RS02655
MIT1002_00984,WP_049585971.1,TK37_RS02660
MIT1002_00985,WP_014948536.1,TK37_RS02665
MIT1002_00986,WP_049585972.1,TK37_RS02670
MIT1002_00987,WP_049585973.1,TK37_RS02675
MIT1002_00988,WP_049585974.1,TK37_RS02680
MIT1002_00989,WP_049585975.1,TK37_RS02685
MIT1002_00990,WP_049585976.1,TK37_RS02690
MIT1002_00991,WP_014997556.1,TK37_RS02695
MIT1002_00992,WP_044556927.1,TK37_RS02700
MIT1002_00993,WP_049585977.1,TK37_RS02705
MIT1002_00994,WP_197047969.1,
MIT1002_00995,WP_049585979.1,TK37_RS02715
MIT1002_00996,WP_049585980.1,TK37_RS02720
MIT1002_00997,WP_231514253.1,
MIT1002_00998,WP_231514254.1,
MIT1002_00999,WP_039223258.1,TK37_RS02735
MIT1002_01000,WP_014948549.1,TK37_RS02740
MIT1002_01001,WP_049585981.1,TK37_RS02745
MIT1002_01002,WP_049585982.1,TK37_RS02750
MIT1002_01004,WP_014948552.1,TK37_RS02755
MIT1002_01005,WP_049585983.1,TK37_RS02760
MIT1002_01006,WP_014948554.1,TK37_RS02765
MIT1002_01007,WP_014948555.1,TK37_RS02770
MIT1002_01008,WP_080986374.1,TK37_RS02775
MIT1002_01009,WP_014948557.1,TK37_RS02780
MIT1002_01010,WP_049585984.1,TK37_RS02785
MIT1002_01011,WP_049585985.1,TK37_RS02790
MIT1002_01012,WP_049585986.1,TK37_RS02795
MIT1002_01013,WP_014948561.1,TK37_RS02800
MIT1002_01014,WP_014948562.1,TK37_RS02805
MIT1002_01015,WP_015066413.1,TK37_RS02810
MIT1002_01016,WP_049585987.1,TK37_RS02815
MIT1002_01017,WP_080986375.1,TK37_RS02820
MIT1002_01018,WP_075176114.1,TK37_RS02825
MIT1002_01019,WP_049585989.1,TK37_RS02830
MIT1002_01020,WP_049585990.1,TK37_RS02835
MIT1002_01021,WP_014975856.1,TK37_RS02840
MIT1002_01022,WP_080986376.1,TK37_RS02845
MIT1002_01023,WP_014975858.1,TK37_RS02850
MIT1002_01024,WP_049585992.1,TK37_RS02855
MIT1002_01025,WP_014997583.1,
MIT1002_01026,WP_049585994.1,TK37_RS02865
MIT1002_01027,WP_049585995.1,TK37_RS02870
MIT1002_01029,WP_014948576.1,TK37_RS02880
MIT1002_01030,WP_262385737.1,
MIT1002_01032,WP_049585997.1,TK37_RS02890
MIT1002_01033,WP_014948587.1,TK37_RS02895
MIT1002_01034,WP_049585998.1,TK37_RS02900
MIT1002_01035,WP_049585999.1,TK37_RS02905
MIT1002_01036,WP_049586007.1,TK37_RS02910
MIT1002_01037,WP_049586000.1,TK37_RS02915
MIT1002_01038,WP_014978562.1,TK37_RS02920
MIT1002_01039,WP_014948594.1,TK37_RS02925
MIT1002_01040,WP_012517627.1,TK37_RS02930
MIT1002_01041,WP_012517628.1,TK37_RS02935
MIT1002_01042,WP_014948596.1,TK37_RS02940
MIT1002_01043,WP_014948597.1,TK37_RS02945
MIT1002_01047,WP_049589139.1,TK37_RS20010
MIT1002_01048,WP_014948600.1,TK37_RS20005
MIT1002_01049,WP_049589137.1,TK37_RS20000
MIT1002_01050,WP_049589135.1,TK37_RS19995
MIT1002_01051,WP_049589133.1,TK37_RS19990
MIT1002_01052,WP_049589131.1,TK37_RS19985
MIT1002_01053,WP_156080639.1,
MIT1002_01054,WP_156080640.1,
MIT1002_01055,WP_049588080.1,TK37_RS13090
MIT1002_01056,WP_049588078.1,TK37_RS13085
MIT1002_01057,WP_049588077.1,TK37_RS13080
MIT1002_01058,WP_049588075.1,TK37_RS13075
MIT1002_01059,WP_049588073.1,TK37_RS13070
MIT1002_01060,WP_231514352.1,
MIT1002_01061,WP_049588071.1,TK37_RS13060
MIT1002_01062,WP_049588070.1,TK37_RS13055
MIT1002_01063,WP_049588068.1,TK37_RS13050
MIT1002_01064,WP_049588066.1,TK37_RS13045
MIT1002_01066,WP_049588086.1,
MIT1002_01072,WP_049588060.1,TK37_RS13010
MIT1002_01073,WP_080986433.1,TK37_RS13005
MIT1002_01074,WP_049588058.1,TK37_RS13000
MIT1002_01075,WP_049588056.1,TK37_RS12995
MIT1002_01076,WP_152910891.1,TK37_RS12990
MIT1002_01077,WP_049588054.1,TK37_RS12985
MIT1002_01078,WP_049588053.1,TK37_RS12980
MIT1002_01079,WP_049588051.1,TK37_RS12975
MIT1002_01080,WP_049588050.1,TK37_RS12970
MIT1002_01081,WP_049588049.1,TK37_RS12965
MIT1002_01082,WP_049588048.1,TK37_RS12960
MIT1002_01083,WP_049588047.1,TK37_RS12955
MIT1002_01084,WP_014997639.1,TK37_RS12950
MIT1002_01085,WP_049588046.1,TK37_RS12945
MIT1002_01086,WP_014975903.1,TK37_RS12940
MIT1002_01087,WP_049588044.1,TK37_RS12935
MIT1002_01088,WP_049588042.1,TK37_RS12930
MIT1002_01089,WP_014948635.1,TK37_RS12925
MIT1002_01090,WP_049588041.1,TK37_RS12920
MIT1002_01091,WP_014948637.1,TK37_RS12915
MIT1002_01092,WP_014948638.1,TK37_RS12910
MIT1002_01093,WP_014948639.1,TK37_RS12905
MIT1002_01094,WP_014975907.1,TK37_RS12900
MIT1002_01095,WP_014948641.1,TK37_RS12895
MIT1002_01096,WP_012517675.1,TK37_RS12890
MIT1002_01097,WP_014978604.1,TK37_RS12885
MIT1002_01098,WP_049588038.1,TK37_RS12880
